 Total battles: 1931596
 Avg. weight/team: 0.004
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 42.48638% | 1078878 | 27.927% | 924182 | 31.176% | 
 | 2    | Magearna           | 25.54925% | 460966 | 11.932% | 365692 | 12.336% | 
 | 3    | Ferrothorn         | 20.64510% | 622497 | 16.114% | 528861 | 17.840% | 
 | 4    | Heatran            | 19.19197% | 519057 | 13.436% | 425595 | 14.357% | 
 | 5    | Tornadus-Therian   | 18.91862% | 327186 |  8.469% | 254151 |  8.573% | 
 | 6    | Toxapex            | 16.97067% | 378874 |  9.807% | 293460 |  9.899% | 
 | 7    | Kartana            | 16.05312% | 459418 | 11.892% | 335305 | 11.311% | 
 | 8    | Greninja-Ash       | 15.58021% | 622135 | 16.104% | 450394 | 15.193% | 
 | 9    | Chansey            | 15.07064% | 289916 |  7.505% | 218168 |  7.360% | 
 | 10   | Gliscor            | 13.98108% | 359879 |  9.316% | 279615 |  9.432% | 
 | 11   | Rotom-Wash         | 13.33543% | 389012 | 10.070% | 327094 | 11.034% | 
 | 12   | Skarmory           | 12.36806% | 204396 |  5.291% | 170020 |  5.735% | 
 | 13   | Clefable           | 12.07488% | 232944 |  6.030% | 171312 |  5.779% | 
 | 14   | Tapu Koko          | 11.78902% | 556308 | 14.400% | 441526 | 14.894% | 
 | 15   | Tapu Lele          | 11.35578% | 360798 |  9.339% | 269636 |  9.096% | 
 | 16   | Zapdos             | 10.18063% | 352723 |  9.130% | 282469 |  9.529% | 
 | 17   | Scizor-Mega        |  9.24244% | 192410 |  4.981% | 147320 |  4.970% | 
 | 18   | Mawile-Mega        |  9.11228% | 208587 |  5.399% | 153443 |  5.176% | 
 | 19   | Tapu Bulu          |  8.98518% | 264035 |  6.835% | 202819 |  6.842% | 
 | 20   | Tapu Fini          |  8.93332% | 289341 |  7.490% | 236306 |  7.971% | 
 | 21   | Pelipper           |  8.69602% | 215281 |  5.573% | 197045 |  6.647% | 
 | 22   | Garchomp           |  8.53595% | 386533 | 10.006% | 304549 | 10.274% | 
 | 23   | Latias-Mega        |  8.45419% | 57671  |  1.493% | 42872  |  1.446% | 
 | 24   | Lopunny-Mega       |  8.12085% | 236838 |  6.131% | 182315 |  6.150% | 
 | 25   | Keldeo             |  7.87407% | 115283 |  2.984% | 87808  |  2.962% | 
 | 26   | Excadrill          |  7.84313% | 293510 |  7.598% | 226991 |  7.657% | 
 | 27   | Victini            |  7.72081% | 238245 |  6.167% | 183090 |  6.176% | 
 | 28   | Greninja           |  7.70584% | 331708 |  8.586% | 251144 |  8.472% | 
 | 29   | Swampert-Mega      |  7.55333% | 215105 |  5.568% | 174264 |  5.879% | 
 | 30   | Celesteela         |  7.43171% | 266537 |  6.899% | 210850 |  7.113% | 
 | 31   | Medicham-Mega      |  7.33978% | 197380 |  5.109% | 154997 |  5.229% | 
 | 32   | Kommo-o            |  6.55875% | 222277 |  5.754% | 163540 |  5.517% | 
 | 33   | Manaphy            |  6.10677% | 64250  |  1.663% | 46298  |  1.562% | 
 | 34   | Serperior          |  6.08124% | 354944 |  9.188% | 259342 |  8.749% | 
 | 35   | Volcarona          |  5.97440% | 290687 |  7.525% | 208263 |  7.025% | 
 | 36   | Magnezone          |  5.96157% | 236927 |  6.133% | 184888 |  6.237% | 
 | 37   | Hawlucha           |  5.73340% | 249893 |  6.469% | 169748 |  5.726% | 
 | 38   | Tangrowth          |  5.64793% | 192597 |  4.985% | 148587 |  5.012% | 
 | 39   | Sableye-Mega       |  5.56093% | 110892 |  2.870% | 96853  |  3.267% | 
 | 40   | Diancie-Mega       |  5.48515% | 151108 |  3.911% | 121282 |  4.091% | 
 | 41   | Bisharp            |  5.46671% | 89810  |  2.325% | 63855  |  2.154% | 
 | 42   | Venusaur-Mega      |  5.30470% | 136527 |  3.534% | 105994 |  3.576% | 
 | 43   | Ditto              |  4.93104% | 71853  |  1.860% | 52569  |  1.773% | 
 | 44   | Jirachi            |  4.59360% | 171678 |  4.444% | 131857 |  4.448% | 
