 Total battles: 241576
 Avg. weight/team: 0.023
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Scizor             | 45.38003% | 123067 | 25.472% | 100010 | 26.139% | 
 | 2    | Latias             | 26.06706% | 75060  | 15.535% | 56615  | 14.797% | 
 | 3    | Krookodile         | 21.75788% | 61447  | 12.718% | 51511  | 13.463% | 
 | 4    | Hydreigon          | 20.90074% | 76482  | 15.830% | 60508  | 15.815% | 
 | 5    | Mimikyu            | 16.15892% | 47638  |  9.860% | 35398  |  9.252% | 
 | 6    | Altaria-Mega       | 15.82157% | 49367  | 10.218% | 36701  |  9.592% | 
 | 7    | Primarina          | 15.68357% | 36779  |  7.612% | 29800  |  7.789% | 
 | 8    | Cobalion           | 14.67987% | 34504  |  7.141% | 28771  |  7.520% | 
 | 9    | Tentacruel         | 14.32830% | 38278  |  7.923% | 31505  |  8.234% | 
 | 10   | Rotom-Heat         | 13.59120% | 53900  | 11.156% | 45585  | 11.914% | 
 | 11   | Sharpedo-Mega      | 13.49016% | 34139  |  7.066% | 24259  |  6.340% | 
 | 12   | Amoonguss          | 13.29558% | 44676  |  9.247% | 35447  |  9.265% | 
 | 13   | Infernape          | 12.86503% | 76279  | 15.788% | 59323  | 15.505% | 
 | 14   | Gligar             | 12.62131% | 45121  |  9.339% | 38679  | 10.109% | 
 | 15   | Aerodactyl-Mega    | 12.29981% | 44049  |  9.117% | 33456  |  8.744% | 
 | 16   | Blissey            | 11.97638% | 42572  |  8.811% | 33375  |  8.723% | 
 | 17   | Hippowdon          | 11.50262% | 34501  |  7.141% | 30236  |  7.903% | 
 | 18   | Mamoswine          | 10.55684% | 44180  |  9.144% | 36398  |  9.513% | 
 | 19   | Terrakion          |  9.80640% | 22811  |  4.721% | 17485  |  4.570% | 
 | 20   | Manectric-Mega     |  9.62229% | 46513  |  9.627% | 37083  |  9.692% | 
 | 21   | Froslass           |  9.38953% | 11424  |  2.364% | 10758  |  2.812% | 
 | 22   | Aggron-Mega        |  8.38131% | 36244  |  7.502% | 31032  |  8.111% | 
 | 23   | Togekiss           |  8.04216% | 47316  |  9.793% | 36005  |  9.411% | 
 | 24   | Alomomola          |  7.96094% | 25460  |  5.270% | 20555  |  5.372% | 
 | 25   | Empoleon           |  7.55617% | 44829  |  9.278% | 37898  |  9.905% | 
 | 26   | Crawdaunt          |  7.38366% | 30086  |  6.227% | 23746  |  6.206% | 
 | 27   | Sylveon            |  7.25770% | 31350  |  6.489% | 23497  |  6.141% | 
 | 28   | Bisharp            |  7.25040% | 40340  |  8.349% | 30989  |  8.099% | 
 | 29   | Klefki             |  7.12890% | 33869  |  7.010% | 29407  |  7.686% | 
 | 30   | Quagsire           |  6.68249% | 8589   |  1.778% | 6748   |  1.764% | 
 | 31   | Celebi             |  6.68089% | 32028  |  6.629% | 24601  |  6.430% | 
