 Total battles: 121156
 Avg. weight/team: 0.027
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Blastoise-Mega     | 32.67966% | 57698  | 23.811% | 47375  | 24.529% | 
 | 2    | Donphan            | 30.68714% | 39940  | 16.483% | 34590  | 17.909% | 
 | 3    | Metagross          | 22.84680% | 46275  | 19.097% | 37983  | 19.666% | 
 | 4    | Registeel          | 22.78001% | 21691  |  8.952% | 19224  |  9.953% | 
 | 5    | Virizion           | 15.13142% | 17896  |  7.386% | 13624  |  7.054% | 
 | 6    | Machamp            | 15.10530% | 25059  | 10.342% | 20291  | 10.506% | 
 | 7    | Noivern            | 14.73800% | 19750  |  8.151% | 15908  |  8.237% | 
 | 8    | Golisopod          | 14.66211% | 24688  | 10.189% | 20183  | 10.450% | 
 | 9    | Sceptile-Mega      | 14.59842% | 30320  | 12.513% | 22063  | 11.423% | 
 | 10   | Nidoqueen          | 14.21261% | 25416  | 10.489% | 21133  | 10.942% | 
 | 11   | Mandibuzz          | 11.79336% | 19424  |  8.016% | 16054  |  8.312% | 
 | 12   | Bronzong           | 11.23391% | 23509  |  9.702% | 20755  | 10.746% | 
 | 13   | Gardevoir          | 10.80272% | 27551  | 11.370% | 20287  | 10.504% | 
 | 14   | Roserade           | 10.77812% | 23357  |  9.639% | 18447  |  9.551% | 
 | 15   | Salazzle           |  9.68577% | 25346  | 10.460% | 18934  |  9.803% | 
 | 16   | Florges            |  9.64361% | 24128  |  9.957% | 18791  |  9.729% | 
 | 17   | Flygon             |  9.43679% | 29682  | 12.249% | 23043  | 11.931% | 
 | 18   | Raikou             |  9.19985% | 18951  |  7.821% | 14800  |  7.663% | 
 | 19   | Slowbro            |  8.84613% | 14194  |  5.858% | 11171  |  5.784% | 
 | 20   | Milotic            |  8.83031% | 24481  | 10.103% | 19793  | 10.248% | 
 | 21   | Ninetales          |  8.64672% | 11691  |  4.825% | 9408   |  4.871% | 
 | 22   | Forretress         |  8.25173% | 23406  |  9.659% | 20940  | 10.842% | 
 | 23   | Necrozma           |  8.17395% | 12026  |  4.963% | 9395   |  4.864% | 
 | 24   | Porygon2           |  8.00350% | 15833  |  6.534% | 12666  |  6.558% | 
 | 25   | Passimian          |  7.95815% | 4321   |  1.783% | 3513   |  1.819% | 
 | 26   | Cresselia          |  7.21190% | 16941  |  6.991% | 13060  |  6.762% | 
 | 27   | Hoopa              |  6.72735% | 4658   |  1.922% | 3546   |  1.836% | 
 | 28   | Araquanid          |  6.58595% | 26395  | 10.893% | 22595  | 11.699% | 
 | 29   | Snorlax            |  6.53678% | 18756  |  7.740% | 14713  |  7.618% | 
 | 30   | Toxicroak          |  6.14789% | 12572  |  5.188% | 9690   |  5.017% | 
 | 31   | Gigalith           |  6.09428% | 6023   |  2.486% | 5432   |  2.812% | 
 | 32   | Arcanine           |  6.09197% | 37012  | 15.275% | 29569  | 15.310% | 
 | 33   | Tyrantrum          |  5.94625% | 14603  |  6.027% | 10713  |  5.547% | 
 | 34   | Drapion            |  5.81973% | 16426  |  6.779% | 13088  |  6.776% | 
