 Total battles: 97644
 Avg. weight/team: 0.023
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Mudsdale           | 27.02574% | 24822  | 12.710% | 21258  | 13.767% | 
 | 2    | Eelektross         | 22.87194% | 33398  | 17.102% | 28045  | 18.163% | 
 | 3    | Hitmonchan         | 19.73882% | 29131  | 14.917% | 23313  | 15.098% | 
 | 4    | Aurorus            | 17.50971% | 13886  |  7.111% | 11261  |  7.293% | 
 | 5    | Primeape           | 15.27573% | 20437  | 10.465% | 16180  | 10.479% | 
 | 6    | Sandslash-Alola    | 14.98391% | 14342  |  7.344% | 11703  |  7.579% | 
 | 7    | Silvally-Fairy     | 14.76110% | 14280  |  7.312% | 11385  |  7.373% | 
 | 8    | Victreebel         | 14.21085% | 16221  |  8.306% | 12861  |  8.329% | 
 | 9    | Skuntank           | 13.31117% | 17165  |  8.790% | 13633  |  8.829% | 
 | 10   | Dodrio             | 13.16965% | 20668  | 10.583% | 15255  |  9.880% | 
 | 11   | Qwilfish           | 12.56513% | 15538  |  7.956% | 13494  |  8.739% | 
 | 12   | Froslass           | 12.32815% | 19150  |  9.806% | 15980  | 10.349% | 
 | 13   | Gurdurr            | 10.64202% | 14773  |  7.565% | 11868  |  7.686% | 
 | 14   | Drampa             | 10.40091% | 15630  |  8.004% | 11713  |  7.586% | 
 | 15   | Ferroseed          | 10.36023% | 11380  |  5.827% | 10134  |  6.563% | 
 | 16   | Ludicolo           | 10.07633% | 11400  |  5.838% | 9052   |  5.862% | 
 | 17   | Stoutland          |  9.79631% | 10191  |  5.218% | 7892   |  5.111% | 
 | 18   | Jellicent          |  8.85140% | 16722  |  8.563% | 13409  |  8.684% | 
 | 19   | Liepard            |  8.76171% | 11404  |  5.840% | 9211   |  5.965% | 
 | 20   | Kabutops           |  8.62793% | 9093   |  4.656% | 6965   |  4.511% | 
 | 21   | Raichu-Alola       |  8.57957% | 16917  |  8.663% | 12450  |  8.063% | 
 | 22   | Claydol            |  8.26323% | 22575  | 11.560% | 18678  | 12.096% | 
 | 23   | Rotom-Frost        |  8.01074% | 8774   |  4.493% | 7216   |  4.673% | 
 | 24   | Regirock           |  7.56270% | 14195  |  7.269% | 12183  |  7.890% | 
 | 25   | Silvally-Ghost     |  7.40997% | 4185   |  2.143% | 3343   |  2.165% | 
 | 26   | Lurantis           |  7.24707% | 13802  |  7.068% | 10883  |  7.048% | 
 | 27   | Cryogonal          |  7.20524% | 9681   |  4.957% | 7565   |  4.899% | 
 | 28   | Absol              |  7.15386% | 16077  |  8.232% | 12173  |  7.884% | 
 | 29   | Tangela            |  6.80224% | 10907  |  5.585% | 8600   |  5.570% | 
 | 30   | Sableye            |  6.59192% | 10402  |  5.326% | 8671   |  5.616% | 
 | 31   | Lycanroc           |  6.30906% | 12736  |  6.522% | 10096  |  6.538% | 
 | 32   | Scyther            |  6.16030% | 18288  |  9.365% | 14173  |  9.179% | 
 | 33   | Audino             |  5.71223% | 9775   |  5.005% | 7519   |  4.870% | 
 | 34   | Abomasnow          |  5.52592% | 9078   |  4.649% | 7422   |  4.807% | 
 | 35   | Beartic            |  5.29319% | 2319   |  1.187% | 1747   |  1.131% | 
 | 36   | Muk                |  5.27613% | 3991   |  2.044% | 3250   |  2.105% | 
 | 37   | Quagsire           |  5.23219% | 11115  |  5.692% | 8718   |  5.646% | 
 | 38   | Lanturn            |  5.20733% | 11550  |  5.914% | 9238   |  5.983% | 
 | 39   | Kangaskhan         |  4.99526% | 8927   |  4.571% | 7263   |  4.704% | 
 | 40   | Clefairy           |  4.92483% | 8591   |  4.399% | 6723   |  4.354% | 
 | 41   | Gastrodon          |  4.89686% | 14457  |  7.403% | 11379  |  7.369% | 
 | 42   | Oricorio-Pom-Pom   |  4.77215% | 4847   |  2.482% | 3675   |  2.380% | 
 | 43   | Persian-Alola      |  4.74996% | 15635  |  8.006% | 12809  |  8.295% | 
 | 44   | Spiritomb          |  4.61515% | 7890   |  4.040% | 6195   |  4.012% | 
 | 45   | Combusken          |  4.59177% | 4295   |  2.199% | 3290   |  2.131% | 
 | 46   | Oricorio-Sensu     |  4.45051% | 7322   |  3.749% | 5689   |  3.684% | 
 | 47   | Carracosta         |  4.44997% | 13065  |  6.690% | 9887   |  6.403% | 
 | 48   | Carbink            |  4.24416% | 3225   |  1.651% | 2892   |  1.873% | 
 | 49   | Articuno           |  4.03090% | 12664  |  6.485% | 9708   |  6.287% | 
 | 50   | Ampharos           |  3.99439% | 2481   |  1.270% | 2024   |  1.311% | 
 | 51   | Omastar            |  3.70889% | 11606  |  5.943% | 8870   |  5.744% | 
 | 52   | Aggron             |  3.66999% | 18790  |  9.622% | 15201  |  9.845% | 
 | 53   | Exeggutor          |  3.66413% | 4470   |  2.289% | 3415   |  2.212% | 
 | 54   | Haunter            |  3.57601% | 13416  |  6.870% | 10145  |  6.570% | 
 | 55   | Camerupt           |  3.52242% | 3209   |  1.643% | 2673   |  1.731% | 
 | 56   | Lapras             |  3.31601% | 3172   |  1.624% | 2500   |  1.619% | 
 | 57   | Wormadam-Trash     |  3.30833% | 1114   |  0.570% | 937    |  0.607% | 
 | 58   | Golurk             |  3.20306% | 12181  |  6.237% | 9857   |  6.384% | 
 | 59   | Swanna             |  2.99515% | 3885   |  1.989% | 3023   |  1.958% | 
 | 60   | Metang             |  2.85644% | 2694   |  1.380% | 2416   |  1.565% | 
 | 61   | Musharna           |  2.84421% | 4519   |  2.314% | 3565   |  2.309% | 
 | 62   | Raticate-Alola     |  2.79719% | 1497   |  0.767% | 1195   |  0.774% | 
 | 63   | Simisear           |  2.74504% | 4610   |  2.361% | 3483   |  2.256% | 
 | 64   | Volbeat            |  2.70524% | 4448   |  2.278% | 3952   |  2.559% | 
 | 65   | Sawsbuck           |  2.57613% | 3174   |  1.625% | 2426   |  1.571% | 
