 Total battles: 65209
 Avg. weight/team: 0.032
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Incineroar         | 35.49202% | 31703  | 24.309% | 26277  | 25.351% | 
 | 2    | Steelix            | 27.45417% | 17496  | 13.415% | 15352  | 14.811% | 
 | 3    | Passimian          | 26.19778% | 18416  | 14.121% | 14733  | 14.214% | 
 | 4    | Garbodor           | 25.25742% | 11984  |  9.189% | 10101  |  9.745% | 
 | 5    | Comfey             | 21.08605% | 22291  | 17.092% | 16674  | 16.086% | 
 | 6    | Golbat             | 19.40282% | 12061  |  9.248% | 9818   |  9.472% | 
 | 7    | Decidueye          | 17.74806% | 11360  |  8.710% | 8988   |  8.671% | 
 | 8    | Slowking           | 17.72551% | 14741  | 11.303% | 11758  | 11.344% | 
 | 9    | Seismitoad         | 15.07617% | 11402  |  8.743% | 9933   |  9.583% | 
 | 10   | Togedemaru         | 14.90790% | 11480  |  8.802% | 9538   |  9.202% | 
 | 11   | Mesprit            | 14.43969% | 7882   |  6.044% | 6778   |  6.539% | 
 | 12   | Druddigon          | 13.69855% | 17557  | 13.462% | 15618  | 15.068% | 
 | 13   | Xatu               | 11.92654% | 14332  | 10.989% | 11639  | 11.229% | 
 | 14   | Dhelmise           | 11.88514% | 16030  | 12.291% | 13046  | 12.586% | 
 | 15   | Weezing            | 11.54373% | 15331  | 11.755% | 13123  | 12.660% | 
 | 16   | Aerodactyl         | 11.44682% | 14665  | 11.245% | 12018  | 11.594% | 
 | 17   | Vivillon           | 11.42475% | 9448   |  7.244% | 7085   |  6.835% | 
 | 18   | Rotom              | 11.06634% | 7989   |  6.126% | 6704   |  6.468% | 
 | 19   | Vaporeon           | 10.58204% | 14026  | 10.755% | 10981  | 10.594% | 
 | 20   | Heliolisk          | 10.56565% | 17769  | 13.625% | 13820  | 13.333% | 
 | 21   | Blastoise          | 10.40762% | 16129  | 12.367% | 13008  | 12.550% | 
 | 22   | Gurdurr            | 10.12400% | 1433   |  1.099% | 1175   |  1.134% | 
 | 23   | Delphox            |  9.90677% | 13536  | 10.379% | 10336  |  9.972% | 
 | 24   | Braviary           |  8.78440% | 10330  |  7.921% | 8036   |  7.753% | 
 | 25   | Whimsicott         |  8.65176% | 12781  |  9.800% | 10162  |  9.804% | 
 | 26   | Palossand          |  8.58123% | 7223   |  5.538% | 6086   |  5.871% | 
 | 27   | Rhydon             |  8.29219% | 9462   |  7.255% | 7920   |  7.641% | 
 | 28   | Vikavolt           |  7.47363% | 8169   |  6.264% | 6339   |  6.116% | 
 | 29   | Clawitzer          |  7.05425% | 12340  |  9.462% | 9617   |  9.278% | 
 | 30   | Sigilyph           |  7.00393% | 8600   |  6.594% | 6454   |  6.227% | 
 | 31   | Glalie-Mega        |  6.90069% | 15446  | 11.843% | 11269  | 10.872% | 
 | 32   | Pangoro            |  6.62499% | 6324   |  4.849% | 5071   |  4.892% | 
 | 33   | Audino-Mega        |  6.00063% | 10172  |  7.800% | 7589   |  7.322% | 
 | 34   | Guzzlord           |  5.75985% | 3135   |  2.404% | 2489   |  2.401% | 
 | 35   | Mismagius          |  5.11253% | 9362   |  7.178% | 7163   |  6.911% | 
 | 36   | Malamar            |  5.04935% | 12352  |  9.471% | 9565   |  9.228% | 
 | 37   | Silvally-Steel     |  4.94029% | 5660   |  4.340% | 4750   |  4.583% | 
 | 38   | Sneasel            |  4.85837% | 6455   |  4.949% | 4826   |  4.656% | 
 | 39   | Accelgor           |  4.37678% | 11438  |  8.770% | 8850   |  8.538% | 
 | 40   | Scrafty            |  4.34274% | 9228   |  7.076% | 7042   |  6.794% | 
 | 41   | Magmortar          |  4.22752% | 8109   |  6.218% | 6259   |  6.038% | 
 | 42   | Sceptile           |  4.09924% | 9746   |  7.473% | 7109   |  6.858% | 
 | 43   | Aromatisse         |  3.60857% | 1772   |  1.359% | 1396   |  1.347% | 
 | 44   | Medicham           |  3.51839% | 6681   |  5.123% | 5205   |  5.022% | 
 | 45   | Ambipom            |  3.51296% | 16529  | 12.674% | 13602  | 13.123% | 
 | 46   | Abomasnow-Mega     |  3.32089% | 4383   |  3.361% | 3400   |  3.280% | 
 | 47   | Miltank            |  3.17965% | 7592   |  5.821% | 6112   |  5.897% | 
 | 48   | Hariyama           |  2.83403% | 6114   |  4.688% | 4912   |  4.739% | 
 | 49   | Exeggutor-Alola    |  2.68751% | 5872   |  4.502% | 4474   |  4.316% | 
 | 50   | Hitmonlee          |  2.65030% | 10116  |  7.757% | 7494   |  7.230% | 
 | 51   | Pyukumuku          |  2.61482% | 991    |  0.760% | 762    |  0.735% | 
 | 52   | Ferroseed          |  2.42400% | 2568   |  1.969% | 2320   |  2.238% | 
 | 53   | Piloswine          |  2.37717% | 5233   |  4.012% | 4548   |  4.388% | 
 | 54   | Lilligant          |  2.34242% | 2283   |  1.751% | 1686   |  1.627% | 
 | 55   | Minior             |  2.15098% | 10800  |  8.281% | 7845   |  7.568% | 
 | 56   | Skuntank           |  2.11090% | 1130   |  0.866% | 902    |  0.870% | 
 | 57   | Torterra           |  1.97108% | 6324   |  4.849% | 5164   |  4.982% | 
 | 58   | Typhlosion         |  1.95942% | 10008  |  7.674% | 7614   |  7.346% | 
 | 59   | Hitmontop          |  1.91947% | 8505   |  6.521% | 6963   |  6.718% | 
 | 60   | Charizard          |  1.89478% | 3826   |  2.934% | 2984   |  2.879% | 
 | 61   | Scyther            |  1.82719% | 1770   |  1.357% | 1369   |  1.321% | 
 | 62   | Klinklang          |  1.77206% | 8204   |  6.291% | 6255   |  6.035% | 
 | 63   | Samurott           |  1.73556% | 3240   |  2.484% | 2552   |  2.462% | 
 | 64   | Granbull           |  1.72364% | 537    |  0.412% | 427    |  0.412% | 
 | 65   | Kingler            |  1.69227% | 3477   |  2.666% | 2591   |  2.500% | 
 | 66   | Gallade            |  1.68483% | 4074   |  3.124% | 3123   |  3.013% | 
 | 67   | Absol              |  1.64902% | 925    |  0.709% | 691    |  0.667% | 
 | 68   | Lapras             |  1.64702% | 695    |  0.533% | 555    |  0.535% | 
 | 69   | Cinccino           |  1.51909% | 5821   |  4.463% | 4423   |  4.267% | 
 | 70   | Aurorus            |  1.50897% | 1195   |  0.916% | 955    |  0.921% | 
 | 71   | Silvally-Poison    |  1.34946% | 323    |  0.248% | 266    |  0.257% | 
 | 72   | Tauros             |  1.28596% | 2788   |  2.138% | 2101   |  2.027% | 
 | 73   | Vikavolt-Totem     |  1.25638% | 166    |  0.127% | 144    |  0.139% | 
 | 74   | Sawk               |  1.24059% | 1650   |  1.265% | 1277   |  1.232% | 
 | 75   | Quagsire           |  1.16533% | 1428   |  1.095% | 1094   |  1.055% | 
 | 76   | Pyroar             |  1.11330% | 1686   |  1.293% | 1293   |  1.247% | 
 | 77   | Houndoom           |  1.09674% | 2659   |  2.039% | 2027   |  1.956% | 
 | 78   | Cryogonal          |  0.92965% | 1845   |  1.415% | 1375   |  1.327% | 
 | 79   | Stoutland          |  0.86900% | 636    |  0.488% | 503    |  0.485% | 
 | 80   | Jellicent          |  0.86470% | 1489   |  1.142% | 1210   |  1.167% | 
 | 81   | Froslass           |  0.86187% | 1634   |  1.253% | 1387   |  1.338% | 
 | 82   | Haunter            |  0.85263% | 717    |  0.550% | 562    |  0.542% | 
