 Total battles: 30867
 Avg. weight/team: 0.019
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Swanna             | 25.71547% | 7462   | 12.087% | 5984   | 12.045% | 
 | 2    | Golem              | 23.81977% | 7912   | 12.816% | 7148   | 14.388% | 
 | 3    | Electivire         | 22.77038% | 10910  | 17.673% | 8699   | 17.510% | 
 | 4    | Shiftry            | 19.17922% | 6844   | 11.086% | 5320   | 10.708% | 
 | 5    | Mareanie           | 16.22875% | 3127   |  5.065% | 2618   |  5.270% | 
 | 6    | Mawile             | 13.31939% | 2855   |  4.625% | 2545   |  5.123% | 
 | 7    | Silvally-Ground    | 12.16042% | 1788   |  2.896% | 1488   |  2.995% | 
 | 8    | Rotom-Fan          | 12.14175% | 4464   |  7.231% | 3823   |  7.695% | 
 | 9    | Sandslash          | 11.32927% | 4479   |  7.255% | 3907   |  7.864% | 
 | 10   | Komala             | 11.28188% | 6846   | 11.090% | 5399   | 10.867% | 
 | 11   | Exeggutor          | 11.17100% | 4147   |  6.718% | 3310   |  6.662% | 
 | 12   | Combusken          | 10.42220% | 4335   |  7.022% | 3301   |  6.644% | 
 | 13   | Pawniard           |  9.74850% | 1326   |  2.148% | 1054   |  2.122% | 
 | 14   | Silvally-Fighting  |  9.66144% | 3591   |  5.817% | 2932   |  5.902% | 
 | 15   | Probopass          |  8.86362% | 2283   |  3.698% | 2067   |  4.161% | 
 | 16   | Marowak            |  7.84712% | 2344   |  3.797% | 1976   |  3.977% | 
 | 17   | Kecleon            |  7.78069% | 3478   |  5.634% | 2890   |  5.817% | 
 | 18   | Lickilicky         |  7.46047% | 3479   |  5.635% | 2751   |  5.537% | 
 | 19   | Bronzor            |  7.29470% | 3148   |  5.099% | 2881   |  5.799% | 
 | 20   | Silvally-Ghost     |  7.28684% | 2237   |  3.624% | 1813   |  3.649% | 
 | 21   | Dusclops           |  7.06763% | 3278   |  5.310% | 2699   |  5.433% | 
 | 22   | Simisear           |  6.89074% | 2073   |  3.358% | 1524   |  3.068% | 
 | 23   | Rapidash           |  6.59422% | 3576   |  5.793% | 2798   |  5.632% | 
 | 24   | Slaking            |  6.21930% | 2325   |  3.766% | 1821   |  3.665% | 
 | 25   | Toucannon          |  6.17419% | 1940   |  3.143% | 1595   |  3.210% | 
 | 26   | Gourgeist-Super    |  6.10699% | 3434   |  5.563% | 2780   |  5.596% | 
 | 27   | Crustle            |  5.97399% | 4456   |  7.218% | 3745   |  7.538% | 
 | 28   | Granbull           |  5.92843% | 2527   |  4.093% | 2114   |  4.255% | 
 | 29   | Monferno           |  5.72028% | 1326   |  2.148% | 1114   |  2.242% | 
 | 30   | Silvally-Dragon    |  5.61699% | 2604   |  4.218% | 2162   |  4.352% | 
 | 31   | Pinsir             |  5.34554% | 3221   |  5.218% | 2418   |  4.867% | 
 | 32   | Silvally-Dark      |  5.25782% | 1165   |  1.887% | 905    |  1.822% | 
 | 33   | Poliwrath          |  5.23437% | 3545   |  5.742% | 2859   |  5.755% | 
 | 34   | Silvally-Water     |  5.08089% | 2739   |  4.437% | 2257   |  4.543% | 
 | 35   | Silvally-Poison    |  4.64037% | 957    |  1.550% | 778    |  1.566% | 
 | 36   | Silvally           |  4.51584% | 1807   |  2.927% | 1441   |  2.900% | 
 | 37   | Altaria            |  4.36864% | 4886   |  7.915% | 3821   |  7.691% | 
 | 38   | Raichu             |  4.33657% | 2468   |  3.998% | 2008   |  4.042% | 
 | 39   | Metang             |  4.31161% | 1272   |  2.060% | 1115   |  2.244% | 
 | 40   | Volbeat            |  4.23496% | 2689   |  4.356% | 2349   |  4.728% | 
 | 41   | Zebstrika          |  4.18802% | 2409   |  3.902% | 1846   |  3.716% | 
 | 42   | Basculin           |  4.16602% | 3464   |  5.611% | 2664   |  5.362% | 
 | 43   | Shiinotic          |  4.11797% | 2024   |  3.279% | 1531   |  3.082% | 
 | 44   | Bellossom          |  4.08677% | 2248   |  3.641% | 1730   |  3.482% | 
 | 45   | Muk                |  4.02113% | 3461   |  5.606% | 2770   |  5.576% | 
 | 46   | Simipour           |  4.02017% | 1674   |  2.712% | 1363   |  2.743% | 
 | 47   | Chatot             |  3.95158% | 3491   |  5.655% | 2738   |  5.511% | 
 | 48   | Bouffalant         |  3.87046% | 2720   |  4.406% | 2107   |  4.241% | 
 | 49   | Kadabra            |  3.84858% | 2852   |  4.620% | 2013   |  4.052% | 
 | 50   | Vigoroth           |  3.81213% | 804    |  1.302% | 593    |  1.194% | 
 | 51   | Purugly            |  3.78248% | 2039   |  3.303% | 1707   |  3.436% | 
 | 52   | Leafeon            |  3.69023% | 2987   |  4.839% | 2405   |  4.841% | 
 | 53   | Quilladin          |  3.57620% | 420    |  0.680% | 373    |  0.751% | 
